fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
4,16,0.2,2,128,768,3072,2.287128571428572,2.3004231611887613
0,16,0.2,2,128,768,2048,2.288792857142857,2.298115619023641
1,16,0.2,2,128,768,2048,2.2695705882352937,2.2938312424553766
2,16,0.2,2,128,768,2048,2.2672222222222222,2.2853764609286658
3,16,0.2,2,128,768,2048,2.303972727272728,2.305925985177358
4,16,0.2,2,128,768,2048,2.208968965517241,2.281676046053569
0,16,0.2,2,128,768,4096,2.289935714285714,2.300331846872965
1,16,0.2,2,128,768,4096,2.2687882352941173,2.294546206792196
2,16,0.2,2,128,768,4096,2.2661666666666664,2.2850582223189506
3,16,0.2,2,128,768,4096,2.302536363636364,2.304937422275543
4,16,0.2,2,128,768,4096,2.244422727272728,2.2886332636294155
0,16,0.4,2,128,768,2048,2.2633045454545457,2.299244403839112
1,16,0.4,2,128,768,2048,2.260659090909091,2.3048833453136943
2,16,0.4,2,128,768,2048,2.2835470588235296,2.2993051608403525
3,16,0.4,2,128,768,2048,2.281258823529412,2.3068500757217407
4,16,0.4,2,128,768,2048,2.2813235294117646,2.306462314393785
0,16,0.4,2,128,768,3072,2.262581818181818,2.300125391586968
1,16,0.4,2,128,768,3072,2.25965,2.3056382199992305
2,16,0.4,2,128,768,3072,2.2834470588235294,2.3003321091334024
3,16,0.4,2,128,768,3072,2.2822235294117643,2.306903772883945
4,16,0.4,2,128,768,3072,2.280623529411765,2.3051526811387806
0,16,0.4,2,128,768,4096,2.261586363636364,2.300131186195042
1,16,0.4,2,128,768,4096,2.255472727272727,2.304721853007441
2,16,0.4,2,128,768,4096,2.2762333333333333,2.298217836179232
3,16,0.4,2,128,768,4096,2.279776470588235,2.3064560227923923
4,16,0.4,2,128,768,4096,2.2783470588235297,2.3046904537412853
0,16,0.6,2,128,768,2048,2.2976772727272725,2.3179831297501274
1,16,0.6,2,128,768,2048,2.30575,2.3238329009005896
2,16,0.6,2,128,768,2048,2.3081499999999995,2.316692904422158
3,16,0.6,2,128,768,2048,2.28866,2.3209860141460714
4,16,0.6,2,128,768,2048,2.3130875,2.327377122991225
0,16,0.6,2,128,768,3072,2.296609090909091,2.3173935206040093
1,16,0.6,2,128,768,3072,2.294322727272727,2.32248534326968
2,16,0.6,2,128,768,3072,2.307672222222222,2.3166630770030774
3,16,0.6,2,128,768,3072,2.323116666666667,2.3269932086651144
4,16,0.6,2,128,768,3072,2.3109,2.327320673886468
0,16,0.6,2,128,768,4096,2.295640909090909,2.317177741423897
1,16,0.6,2,128,768,4096,2.2780333333333336,2.321110827582223
2,16,0.6,2,128,768,4096,2.2825777777777776,2.3107033371925354
3,16,0.6,2,128,768,4096,2.286648,2.3214051998578586
4,16,0.6,2,128,768,4096,2.309025,2.325543249354643
