fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
4,16,0.6,2,128,768,3072,2.3109,2.327320673886468
0,16,0.6,2,128,768,4096,2.295640909090909,2.317177741423897
1,16,0.6,2,128,768,4096,2.2780333333333336,2.321110827582223
2,16,0.6,2,128,768,4096,2.2825777777777776,2.3107033371925354
3,16,0.6,2,128,768,4096,2.286648,2.321405199857858
4,16,0.6,2,128,768,4096,2.309025,2.325543249354643
0,16,0.1,3,128,768,2048,2.2955428571428578,2.299268690745036
1,16,0.1,3,128,768,2048,2.2508904761904764,2.2914524511857466
2,16,0.1,3,128,768,2048,2.315227272727273,2.3072890043258667
3,16,0.1,3,128,768,2048,2.3046666666666664,2.302662629347581
4,16,0.1,3,128,768,2048,2.305566666666667,2.3080183542691746
0,16,0.1,3,128,768,3072,2.2965214285714284,2.2989896615346272
1,16,0.1,3,128,768,3072,2.252485714285714,2.294985619458285
2,16,0.1,3,128,768,3072,2.314718181818182,2.307314356168112
3,16,0.1,3,128,768,3072,2.304533333333333,2.304293027290931
4,16,0.1,3,128,768,3072,2.3063,2.3088795221768894
0,16,0.1,3,128,768,4096,2.298014285714286,2.3011032422383626
1,16,0.1,3,128,768,4096,2.2566619047619048,2.295405214483088
2,16,0.1,3,128,768,4096,2.315809090909091,2.307607054710388
3,16,0.1,3,128,768,4096,2.306925,2.30338846720182
4,16,0.1,3,128,768,4096,2.3071333333333333,2.3080004361959605
0,16,0.2,3,128,768,2048,2.275571428571429,2.2951781431833904
1,16,0.2,3,128,768,2048,2.25054705882353,2.289087586932712
2,16,0.2,3,128,768,2048,2.296472727272727,2.296196122964224
3,16,0.2,3,128,768,2048,2.292836363636364,2.301049093405405
4,16,0.2,3,128,768,2048,2.2311300000000003,2.285183940614973
0,16,0.2,3,128,768,3072,2.274742857142857,2.294382810592652
1,16,0.2,3,128,768,3072,2.250235294117647,2.2886829773585
2,16,0.2,3,128,768,3072,2.1627066666666663,2.2683879098584576
3,16,0.2,3,128,768,3072,2.292354545454546,2.3022658228874207
4,16,0.2,3,128,768,3072,2.23101,2.2845005762009394
0,16,0.2,3,128,768,4096,2.2751357142857143,2.294774564107259
1,16,0.2,3,128,768,4096,2.2520823529411764,2.288924800025092
2,16,0.2,3,128,768,4096,2.295781818181818,2.294831971327464
3,16,0.2,3,128,768,4096,2.2920818181818183,2.300903578599294
4,16,0.2,3,128,768,4096,2.231845,2.2848589420318604
0,16,0.4,3,128,768,2048,2.240863636363636,2.297496515771617
1,16,0.4,3,128,768,2048,2.264205882352941,2.3037144475513034
2,16,0.4,3,128,768,2048,2.268041176470588,2.2956989341311984
3,16,0.4,3,128,768,2048,2.266282352941176,2.303678101963467
4,16,0.4,3,128,768,2048,2.2644705882352945,2.3029260635375977
0,16,0.4,3,128,768,3072,2.26555294117647,2.301875525050693
1,16,0.4,3,128,768,3072,2.263282352941177,2.303134123484293
2,16,0.4,3,128,768,3072,2.266594117647059,2.2935714721679688
3,16,0.4,3,128,768,3072,2.2637411764705884,2.301744063695272
4,16,0.4,3,128,768,3072,2.263117647058824,2.3005977869033813
0,16,0.4,3,128,768,4096,2.265647058823529,2.301314777798123
1,16,0.4,3,128,768,4096,2.2345636363636365,2.302586099375849
2,16,0.4,3,128,768,4096,2.2651882352941173,2.2941076225704617
3,16,0.4,3,128,768,4096,2.262964705882353,2.301634709040324
4,16,0.4,3,128,768,4096,2.262158823529412,2.301235450638665
0,16,0.6,3,128,768,2048,2.2841181818181817,2.315674336060234
1,16,0.6,3,128,768,2048,2.2659888888888884,2.3194259064538136
2,16,0.6,3,128,768,2048,2.300564705882353,2.3134716351826987
3,16,0.6,3,128,768,2048,2.273076,2.317981536571796
4,16,0.6,3,128,768,2048,2.3015,2.3238480371587418
0,16,0.6,3,128,768,3072,2.281936363636364,2.316215421842492
1,16,0.6,3,128,768,3072,2.2811227272727272,2.3208215858625327
2,16,0.6,3,128,768,3072,2.2957555555555555,2.313255611218904
3,16,0.6,3,128,768,3072,2.2744916666666666,2.3183508682250977
4,16,0.6,3,128,768,3072,2.299825,2.323420959360459
0,16,0.6,3,128,768,4096,2.2818272727272726,2.315575713696687
1,16,0.6,3,128,768,4096,2.262614814814815,2.320201677935464
